iter	Logloss
0	0.6829509317
1	0.6728887413
2	0.6621669985
3	0.6532317758
4	0.6423454365
5	0.6332914105
6	0.6236195632
7	0.6131575036
8	0.6028215926
9	0.5941139257
10	0.5860353981
11	0.5780235581
12	0.5695299294
13	0.5615411339
14	0.5536968015
15	0.5466980777
16	0.5393555956
17	0.5323451659
18	0.524004774
19	0.5171876335
20	0.5093132727
21	0.5028971939
22	0.4958652016
23	0.4898651328
24	0.4821727502
25	0.4760719042
26	0.4689596013
27	0.463086053
28	0.4561758419
29	0.4496980528
30	0.4430471437
31	0.4377479678
32	0.4333471426
33	0.4286486944
34	0.4226541438
35	0.4174620533
36	0.4126797285
37	0.4083683547
38	0.4027967978
39	0.3975498568
40	0.3931542115
41	0.3885548278
42	0.382675567
43	0.3788586244
44	0.3745988307
45	0.3694005983
46	0.3646015646
47	0.3599724553
48	0.3555973878
49	0.3509896236
50	0.3469257904
51	0.3431382861
52	0.3390832319
53	0.3352182706
54	0.331917293
55	0.3284015833
56	0.3245619671
57	0.3206058317
58	0.3166371988
59	0.3128359899
60	0.3088540575
61	0.3051873168
62	0.3022065586
63	0.2987280632
64	0.2955341071
65	0.292461037
66	0.2888499411
67	0.2856073864
68	0.2825700209
69	0.2796061039
70	0.2766688503
71	0.2738082448
72	0.2707615441
73	0.268292868
74	0.2649670284
75	0.2619043686
76	0.2591069581
77	0.2563722554
78	0.2534810705
79	0.2513480752
80	0.2481525158
81	0.2455855366
82	0.242468958
83	0.2404801374
84	0.2383452835
85	0.2358637312
86	0.2335025088
87	0.2312577872
88	0.2287545534
89	0.2268137299
90	0.2244113128
91	0.2223592428
92	0.2200416226
93	0.2183039595
94	0.2163050695
95	0.214516536
96	0.212862826
97	0.2106929736
98	0.2085709753
99	0.2069044914
100	0.2051531613
101	0.2035837209
102	0.2021172835
103	0.2002556683
104	0.198629911
105	0.1969807093
106	0.1949957797
107	0.1934776086
108	0.1915085778
109	0.189675954
110	0.1878336859
111	0.1863128635
112	0.1844251886
113	0.1825717335
114	0.1806953848
115	0.1793912126
116	0.1775767231
117	0.1762345667
118	0.1741818629
119	0.1730298521
120	0.1714032462
121	0.1697743317
122	0.1686956039
123	0.1675286048
124	0.1664954686
125	0.1650963269
126	0.1642569197
127	0.1627150674
128	0.1610517683
129	0.1596476373
130	0.158013873
131	0.1567343431
132	0.1554410458
133	0.1543998854
134	0.1533818083
135	0.1521877667
136	0.1507230231
137	0.1494015032
138	0.1482405488
139	0.1470110061
140	0.1458926757
141	0.1448838155
142	0.1440548406
143	0.1431627965
144	0.1421071746
145	0.1409151483
146	0.1397502002
147	0.1387600136
148	0.137531506
149	0.1365354565
150	0.1354251515
151	0.1343979028
152	0.1332910907
153	0.1322746561
154	0.1310910791
155	0.1301767768
156	0.1294525193
157	0.1286909787
158	0.1281382805
159	0.1272810643
160	0.126596527
161	0.1256712904
162	0.1249507352
163	0.1240614798
164	0.123195926
165	0.1222767391
166	0.1216206337
167	0.1207750212
168	0.1199857381
169	0.119148297
170	0.1182439818
171	0.117214997
172	0.1165277764
173	0.1157197797
174	0.1150925289
175	0.1142943849
176	0.1136193708
177	0.112716238
178	0.1121074087
179	0.1115351272
180	0.1108967754
181	0.1100949821
182	0.1094068925
183	0.1085334044
184	0.1079616676
185	0.1074453208
186	0.1067678657
187	0.1062023265
188	0.105644122
189	0.1048362326
190	0.1042590193
191	0.1036475667
192	0.1032770158
193	0.1026740604
194	0.1020204284
195	0.1013534838
196	0.1007304121
197	0.1000846673
198	0.09965645395
199	0.09903109752
200	0.09850759946
201	0.09808320017
202	0.09753071842
203	0.09712564978
204	0.09673513113
205	0.09627288079
206	0.09581767576
207	0.09519604616
208	0.09463070337
209	0.09408569659
210	0.09351248082
211	0.09288144758
212	0.09240353657
213	0.09188497616
214	0.09130553566
215	0.09081684994
216	0.09021397658
217	0.08976085852
218	0.08905917584
219	0.08855119372
220	0.08821404465
221	0.08786799203
222	0.08755092828
223	0.08704022276
224	0.08668128649
225	0.0862107839
226	0.08587152913
227	0.08546194798
228	0.08487284022
